1	Estonia	爱沙尼亚
2	Russian Renju Association	俄罗斯
3	Finland	芬兰
4	Japan	日本
5	China	中国
6	South Korea	韩国
7	Sweden	瑞典
8	Chinese Taipei	中国台湾
9	Poland	波兰
10	Hungary	匈牙利
11	United States	美国
12	Armenia	亚美尼亚
13	Azerbaijan	阿塞拜疆
14	Ukraine	乌克兰
16	Czech Republic	捷克
17	Latvia	拉脱维亚
18	Lithuania	立陶宛
19	Belarusian Renju Association	白俄罗斯
23	Uzbekistan	乌兹别克斯坦
24	France	法国
26	Austria	奥地利
28	Vietnam	越南
29	Israel	以色列
31	Moldova	摩尔多瓦
32	Slovakia	斯洛伐克
37	Kazakhstan	哈萨克斯坦
41	Türkiye	土耳其
43	Macao, China	中国澳门
44	Greece	希腊
45	Georgia	格鲁吉亚
47	Hong Kong, China	中国香港
